date,date_id,year,month,day
1983-01-22,3656,1983,1,22
1993-11-18,3657,1993,11,18
2022-12-01,3658,2022,12,1
1985-10-26,3659,1985,10,26
2017-01-30,3660,2017,1,30
2023-03-20,3661,2023,3,20
2017-03-14,3662,2017,3,14
2017-11-23,3663,2017,11,23
2008-07-30,3664,2008,7,30
2013-07-01,3665,2013,7,1
2001-12-17,3666,2001,12,17
1999-09-14,3667,1999,9,14
1967-09-16,3668,1967,9,16
2014-05-22,3669,2014,5,22
1986-01-10,3670,1986,1,10
2016-11-12,3671,2016,11,12
2006-01-13,3672,2006,1,13
2023-07-12,3673,2023,7,12
1980-09-01,3674,1980,9,1
2021-05-28,3675,2021,5,28
1992-07-20,3676,1992,7,20
2020-11-06,3677,2020,11,6
2003-04-17,3678,2003,4,17
2019-03-31,3679,2019,3,31
1994-01-02,3680,1994,1,2
2011-04-18,3681,2011,4,18
2014-10-27,3682,2014,10,27
1998-11-09,3683,1998,11,9
2007-07-23,3684,2007,7,23
2018-07-23,3685,2018,7,23
2009-06-16,3686,2009,6,16
2018-01-19,3687,2018,1,19
2010-02-20,3688,2010,2,20
2000-10-08,3689,2000,10,8
1984-09-17,3690,1984,9,17
2013-01-10,3691,2013,1,10
2016-03-21,3692,2016,3,21
2012-11-07,3693,2012,11,7
2008-08-12,3694,2008,8,12
2021-06-23,3695,2021,6,23
1993-08-29,3696,1993,8,29
1984-03-11,3697,1984,3,11
2016-11-09,3698,2016,11,9
1972-01-22,3699,1972,1,22
2013-10-18,3700,2013,10,18
1994-03-29,3701,1994,3,29
2022-03-14,3702,2022,3,14
1988-01-19,3703,1988,1,19
2012-12-27,3704,2012,12,27
2012-05-24,3705,2012,5,24
2019-06-13,3706,2019,6,13
2019-11-26,3707,2019,11,26
2022-03-11,3708,2022,3,11
2020-12-05,3709,2020,12,5
2014-10-29,3710,2014,10,29
2022-05-04,3711,2022,5,4
2021-03-14,3712,2021,3,14
2000-07-18,3713,2000,7,18
1989-11-05,3714,1989,11,5
2021-05-20,3715,2021,5,20
2002-01-29,3716,2002,1,29
2022-09-16,3717,2022,9,16
2023-03-28,3718,2023,3,28
2000-03-20,3719,2000,3,20
2010-07-06,3720,2010,7,6
2021-10-10,3721,2021,10,10
2013-08-05,3722,2013,8,5
2012-04-03,3723,2012,4,3
1992-09-18,3724,1992,9,18
2012-10-27,3725,2012,10,27
2012-01-05,3726,2012,1,5
2005-01-17,3727,2005,1,17
2006-08-14,3728,2006,8,14
2022-12-02,3729,2022,12,2
2013-07-12,3730,2013,7,12
2022-09-23,3731,2022,9,23
2017-01-22,3732,2017,1,22
2011-05-24,3733,2011,5,24
2007-08-04,3734,2007,8,4
1996-09-12,3735,1996,9,12
2013-02-08,3736,2013,2,8
1994-02-05,3737,1994,2,5
2017-05-12,3738,2017,5,12
2017-08-05,3739,2017,8,5
1982-09-25,3740,1982,9,25
2000-10-23,3741,2000,10,23
2002-11-20,3742,2002,11,20
1992-03-31,3743,1992,3,31
2016-12-09,3744,2016,12,9
2023-05-16,3745,2023,5,16
2019-09-28,3746,2019,9,28
2005-05-16,3747,2005,5,16
2022-02-16,3748,2022,2,16
2021-07-10,3749,2021,7,10
2005-10-27,3750,2005,10,27
1999-11-14,3751,1999,11,14
1987-04-06,3752,1987,4,6
2003-07-30,3753,2003,7,30
2019-05-28,3754,2019,5,28
1984-11-06,3755,1984,11,6
1975-01-23,3756,1975,1,23
2018-04-29,3757,2018,4,29
1998-10-19,3758,1998,10,19
2015-04-14,3759,2015,4,14
2022-08-16,3760,2022,8,16
2018-11-09,3761,2018,11,9
2017-10-03,3762,2017,10,3
2007-08-05,3763,2007,8,5
2004-11-01,3764,2004,11,1
2023-06-14,3765,2023,6,14
2013-09-27,3766,2013,9,27
2006-01-16,3767,2006,1,16
2014-12-10,3768,2014,12,10
2015-08-26,3769,2015,8,26
2010-11-15,3770,2010,11,15
2017-01-24,3771,2017,1,24
2001-06-02,3772,2001,6,2
1999-01-12,3773,1999,1,12
2021-08-17,3774,2021,8,17
2005-03-11,3775,2005,3,11
2015-02-18,3776,2015,2,18
2010-05-31,3777,2010,5,31
2014-07-20,3778,2014,7,20
1982-09-20,3779,1982,9,20
2009-04-19,3780,2009,4,19
2022-05-11,3781,2022,5,11
2002-08-25,3782,2002,8,25
2019-12-31,3783,2019,12,31
2008-09-04,3784,2008,9,4
2014-08-07,3785,2014,8,7
2002-04-04,3786,2002,4,4
2012-11-18,3787,2012,11,18
2002-03-05,3788,2002,3,5
2020-10-15,3789,2020,10,15
2017-10-20,3790,2017,10,20
2021-01-25,3791,2021,1,25
2016-05-09,3792,2016,5,9
2016-03-13,3793,2016,3,13
1974-04-03,3794,1974,4,3
1993-05-16,3795,1993,5,16
2004-01-22,3796,2004,1,22
2015-11-04,3797,2015,11,4
1981-09-16,3798,1981,9,16
2000-07-10,3799,2000,7,10
2020-09-15,3800,2020,9,15
2016-10-28,3801,2016,10,28
2021-10-18,3802,2021,10,18
2000-02-25,3803,2000,2,25
2015-02-16,3804,2015,2,16
1986-02-09,3805,1986,2,9
2023-02-07,3806,2023,2,7
1991-09-09,3807,1991,9,9
1966-09-10,3808,1966,9,10
2011-11-17,3809,2011,11,17
1968-09-21,3810,1968,9,21
2013-10-08,3811,2013,10,8
2021-01-17,3812,2021,1,17
2001-10-29,3813,2001,10,29
2013-07-21,3814,2013,7,21
2022-03-07,3815,2022,3,7
2020-02-05,3816,2020,2,5
2007-10-06,3817,2007,10,6
1998-01-09,3818,1998,1,9
2014-11-23,3819,2014,11,23
2003-09-10,3820,2003,9,10
1997-04-02,3821,1997,4,2
2011-06-29,3822,2011,6,29
2016-12-12,3823,2016,12,12
2016-03-15,3824,2016,3,15
2018-02-11,3825,2018,2,11
1982-10-09,3826,1982,10,9
2010-07-02,3827,2010,7,2
2007-11-18,3828,2007,11,18
2020-11-08,3829,2020,11,8
2010-11-21,3830,2010,11,21
1999-09-29,3831,1999,9,29
2013-05-03,3832,2013,5,3
2007-03-03,3833,2007,3,3
2003-10-08,3834,2003,10,8
2018-09-06,3835,2018,9,6
1968-09-22,3836,1968,9,22
2018-01-17,3837,2018,1,17
2016-06-09,3838,2016,6,9
2006-10-25,3839,2006,10,25
1979-03-24,3840,1979,3,24
2002-11-01,3841,2002,11,1
2007-08-10,3842,2007,8,10
1990-03-18,3843,1990,3,18
2018-06-18,3844,2018,6,18
2000-03-27,3845,2000,3,27
2010-01-25,3846,2010,1,25
2015-02-05,3847,2015,2,5
2006-05-14,3848,2006,5,14
1981-10-11,3849,1981,10,11
2018-09-11,3850,2018,9,11
2008-11-19,3851,2008,11,19
2008-02-25,3852,2008,2,25
2016-04-12,3853,2016,4,12
2001-01-14,3854,2001,1,14
2014-11-06,3855,2014,11,6
2019-03-24,3856,2019,3,24
2001-10-13,3857,2001,10,13
2023-04-14,3858,2023,4,14
2022-10-31,3859,2022,10,31
2003-10-23,3860,2003,10,23
2013-04-28,3861,2013,4,28
2008-08-25,3862,2008,8,25
